index	﻿TIME	FSC-A	FSC-H	FSC-W	BSC-A	BSC-H	BSC-W	lck: EGFP-A-Compensated
lckgfp_s164	1276.943	51094.58	51383.36	151.0	26973.69	23184.0	151.0	1328.417
lckgfp_s165	1515.348	48554.55	50899.52	148.0	35021.77	33398.4	148.0	1598.86
lckgfp_s166	202.1467	53101.19	50850.24	154.0	47542.73	41091.68	154.0	1886.792
lckgfp_s167	1107.985	36209.48	38142.72	123.0	25658.41	27180.16	123.0	1550.699
lckgfp_s168	379.0466	35057.23	39873.12	126.0	30612.27	29940.96	126.0	2020.598
lckgfp_s169	1163.51	38602.32	42038.08	133.0	29576.09	28991.2	133.0	3276.007
lckgfp_s170	1416.341	41513.14	38721.76	129.0	34837.79	36299.2	129.0	1557.969
lckgfp_s171	1360.325	87540.45	96098.24	176.0	111919.7	91591.36	176.0	1446.105
lckgfp_s172	375.7743	305304.7	130609.9	372.0	864492.9	293190.3	372.0	3381.707
lckgfp_s173	1128.054	40317.86	43058.4	135.0	34780.54	37171.68	135.0	1464.243
lckgfp_s174	191.7171	96933.39	101805.8	181.0	42638.74	34518.4	181.0	4022.705
lckgfp_s175	1371.011	41024.62	41339.2	133.0	30368.7	30928.8	133.0	1830.669
lckgfp_s176	1256.652	305273.5	238924.0	275.0	747687.4	407771.8	275.0	25292.15
lckgfp_s177	337.5551	77975.77	83230.56	171.0	208731.7	177826.9	171.0	1705.681
lckgfp_s178	332.9987	51323.52	53474.4	151.0	29906.51	28146.72	151.0	1477.632
lckgfp_s179	260.882	37889.78	40559.68	130.0	41625.44	41928.32	130.0	1543.533
lckgfp_s180	883.0556	39209.0	39732.0	127.0	40891.05	40530.56	127.0	1405.067
lckgfp_s181	1346.898	68184.52	61799.36	167.0	31755.46	24368.96	167.0	1321.56
lckgfp_s182	232.6452	210903.0	176708.0	231.0	805533.8	489373.9	231.0	9348.065
lckgfp_s183	1069.664	52603.48	51996.0	152.0	38241.47	35955.36	152.0	4260.766
lckgfp_s184	1449.278	99249.97	100700.3	185.0	48719.99	38674.72	185.0	1760.359
lckgfp_s185	1375.95	42245.08	44179.52	138.0	194528.4	215919.2	138.0	1824.048
lckgfp_s186	518.5724	50700.89	51441.6	150.0	32110.4	29320.48	150.0	1525.026
lckgfp_s187	939.9025	45940.6	44570.4	144.0	29961.05	28189.28	144.0	2288.83
lckgfp_s188	301.5087	127451.1	94931.2	211.0	1961449.0	928122.8	211.0	1565.74
lckgfp_s189	1024.186	80609.59	64854.72	181.0	301876.4	224608.2	181.0	1455.366
lckgfp_s190	193.9021	396409.3	136815.8	471.0	862996.8	262243.5	471.0	1327.016
lckgfp_s191	566.5284	184951.7	193389.3	205.0	290953.2	201321.1	205.0	3738.15
lckgfp_s192	170.6457	84091.08	75900.16	178.0	223304.7	170692.5	178.0	1462.37
lckgfp_s193	1275.533	37934.99	37910.88	123.0	94477.02	66296.16	123.0	1393.329
lckgfp_s194	466.1452	45504.73	50893.92	146.0	34803.36	33406.24	146.0	1314.231
lckgfp_s195	1473.905	73989.1	74437.44	172.0	65264.4	47840.8	172.0	1538.637
lckgfp_s196	1415.066	112682.7	106462.7	193.0	178332.9	133296.8	193.0	3838.467
lckgfp_s197	896.0154	68263.05	55920.48	164.0	107072.7	115661.3	164.0	2407.683
lckgfp_s198	212.5573	39004.7	40005.28	129.0	34966.05	36153.6	129.0	1586.798
lckgfp_s199	1289.424	40614.49	39885.44	129.0	30273.26	30047.36	129.0	1853.496
lckgfp_s200	1506.376	43077.59	43933.12	138.0	24249.29	24258.08	138.0	2174.533
lckgfp_s201	35.8545	37654.43	41080.48	129.0	23093.5	22663.2	129.0	3315.188
lckgfp_s202	18.93082	37306.05	40668.32	129.0	29172.08	27947.36	129.0	1493.838
lckgfp_s203	1374.624	39307.23	39081.28	128.0	20987.81	20525.12	128.0	2380.388
lckgfp_s204	1027.177	41904.88	42383.04	135.0	57463.61	56421.12	135.0	1698.603
lckgfp_s205	1170.358	85030.39	85613.92	175.0	259397.0	208903.5	175.0	5160.336
lckgfp_s206	147.6716	49753.0	46304.16	146.0	36826.05	35583.52	146.0	1604.965
lckgfp_s207	1052.171	560125.8	163523.4	494.0	1617811.0	427234.1	494.0	1557.6
lckgfp_s208	1308.203	61310.62	59407.04	162.0	40799.89	36314.88	162.0	2001.207
lckgfp_s209	272.4054	35066.23	36898.4	117.0	24227.02	27027.84	117.0	1988.688
lckgfp_s210	484.2171	109869.6	91626.08	199.0	40715.9	24536.96	199.0	1487.276
lckgfp_s211	1520.433	60967.95	53692.8	162.0	59203.65	49487.2	162.0	1675.156
lckgfp_s212	368.9736	41329.19	40313.28	132.0	35776.55	34493.76	132.0	1827.808
lckgfp_s213	300.5468	244935.4	120430.2	314.0	1661083.0	920178.6	314.0	1414.74
lckgfp_s214	1234.643	118088.2	121160.5	187.0	200472.3	154347.2	187.0	2896.649
lckgfp_s215	1230.599	44826.74	48595.68	144.0	26814.87	27073.76	144.0	1722.786
lckgfp_s216	1048.042	42670.08	45707.2	141.0	56211.38	54925.92	141.0	1797.932
lckgfp_s217	1482.224	59447.15	52504.48	163.0	52129.15	43817.76	163.0	1844.928
lckgfp_s218	527.5446	55602.57	55547.52	156.0	44782.59	42244.16	156.0	1617.809
lckgfp_s219	432.5225	51175.29	51312.8	152.0	53440.36	46298.56	152.0	1354.842
lckgfp_s220	1204.102	67640.23	75160.96	166.0	28474.57	26700.8	166.0	1584.409
lckgfp_s221	1466.833	73167.13	63420.0	176.0	89622.77	63383.04	176.0	1444.926
lckgfp_s222	207.9013	56352.3	58682.4	160.0	24006.26	22747.2	160.0	1931.443
lckgfp_s223	47.05828	44440.07	43199.52	140.0	38866.03	34105.12	140.0	4611.281
lckgfp_s224	1209.625	35613.85	39522.56	125.0	26545.21	28306.88	125.0	1410.198
lckgfp_s225	1359.916	159268.3	79472.96	269.0	275701.7	126806.4	269.0	1796.915
lckgfp_s226	1206.807	38611.32	41496.0	132.0	26536.58	25929.12	132.0	1294.501
lckgfp_s227	1341.458	86038.59	84869.12	180.0	61368.85	49591.36	180.0	2376.54
lckgfp_s228	1003.144	202877.1	111311.2	265.0	1834939.0	927775.5	265.0	11508.22
lckgfp_s229	1034.17	77906.83	72730.56	176.0	55254.29	44657.76	176.0	1310.235
lckgfp_s230	514.2254	69092.05	65828.0	170.0	51868.78	43284.64	170.0	1578.451
lckgfp_s231	1037.844	80752.09	87139.36	174.0	52327.03	44237.76	174.0	1574.573
lckgfp_s232	921.7515	125011.5	123957.1	194.0	414307.3	288874.9	194.0	3709.867
lckgfp_s233	516.1901	70293.02	71458.24	169.0	37862.01	32648.0	169.0	1295.828
lckgfp_s234	1056.802	58974.82	57016.96	158.0	33939.45	31183.04	158.0	1428.705
lckgfp_s235	1044.633	51186.91	50681.12	150.0	38295.52	35297.92	150.0	1795.543
lckgfp_s236	1244.813	60098.55	55637.12	160.0	60464.02	55062.56	160.0	1767.157
